"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",0.638902365704388,0,0,0,0,0,0,0.0147132060537115,0,0,0,0.0060171122988686,0.0127791168307886,0.0152673178631812,0,0,0,0,0,0,0,0,0,0,0,0.0193673521699384,0,0,0,0,0.00409412607550621,0.0145129699492827,0.0151929644914344,0.00856284499634057,0,0.00146431190427393,0.00925861939787865,0,0,0,0,0.0160283985873684,0,0,0,0,0,0,0,0
"2",0,0.640193725544391,0,0,0.00448082566261291,0,0,0,0,0,0,0,0,0,0,0,0,0.0157961138384417,0,0,0,0.0122942603798583,0,0,0.0154754153871909,0,0.0128069267841056,0,0,0,0,0,0,0.0161233808100224,0.0133916554227471,0,0,0,0,0,0,0,0.00615074235014617,0,0,0,0,0,0.00318575541023165,0
"3",0,0,0.398701330141714,0,0,0,0,0,0.012539042965509,0,0,0.0169536514906213,0,0,0,0,0,0,0,0.0088029270991683,0,0,0,0.0168461051490158,0.00559630920179188,0,0,0,0,0,0,0,0.00790794876404107,0.00444949239026755,0,0,0,0,0,0.0139525996893644,0.019223477258347,0,0,0,0,0,0,0,0.0189406923763454,0
"4",0,0,0,0.29425458931592,0,0,0,0,0.0178329882770777,0.00551687627099454,0,0,0.0112065375363454,0,0,0.0136698072170839,0,0.01193730072584,0,0,0.0104430938651785,0,0,0,0,0.0119779138313606,0,0,0,0,0,0.00705677935853601,0,0,0,0,0,0,0,0.0162602213397622,0,0,0,0,0.0143470919877291,0.0159340474801138,0.0147802263544872,0,0.00591699705924839,0.00060591435059905
"5",0,0.00448082566261291,0,0,0.0283509533777094,0,0,0,0,0,0,0,0,0,0.00230476972647011,0,0,0,0,0,0,0.015981734902598,0,0.0145261470414698,0,0,0,0.0058219046657905,0.0182139401556924,0.0156582648633048,0,0,0,0,0,0,0.0190701379487291,0,0,0.0107299217348918,0,0,0,0,0,0,0,0,0.00590199848636985,0
"6",0,0,0,0,0,0.846273511669188,0,0,0,0,0,0,0,0,0,0,0,0.0161322367424145,0,0,0,0,0,0,0,0.00907130532432348,0,0,0,0,0.00521770141553134,0,0,0,0,0,0,0,0,0,0,0,0,0.0187891716090962,0,0,0.0192814175412059,0,0,0
"7",0,0,0,0,0,0,1.31148044604324,0,0.00676813420839608,0,0,0,0,0.0183993373671547,0,0,0,0,0,0,0.00995360124856234,0,0.00278461746871471,0,0,0,0.0163662225566804,0,0,0,0,0.0168374918913469,0,0,0,0,0,0,0,0,0.0044802455464378,0,0,0,0,0.00256550712045282,0,0,0.00106122993864119,0
"8",0.0147132060537115,0,0,0,0,0,0,0.147901894580219,0.015629047267139,0,0,0,0,0,0,0,0.0182825440075249,0,0.0187940044142306,0,0,0.00325101870577782,0.00315984333399683,0,0,0.00995309703983367,0,0,0,0.00734703128226101,0.0056483130576089,0.0121178397210315,0,0,0,0,0.00544240907300264,0,0,0,0.000953330327756703,0,0,0,0,0,0,0.00297780917957425,0,0
"9",0,0,0.012539042965509,0.0178329882770777,0,0,0.00676813420839608,0.015629047267139,2.32511502410065,0,0,0,0,0,0,0,0,0,0,0,0,0.018384402776137,0,0,0,0,0,0,0,0.0154929643729702,0,0,0,0,0,0,0,0,0,0,0,0,0.00696721995249391,0,0,0,0,0,0,0
"10",0,0,0,0.00551687627099454,0,0,0,0,0,2.41707039696245,0,0,0,0,0.0165313944825903,0,0.00513649887405336,0,0,0,0,0,0,0,0.0183260649209842,0,0,0.00909506171941757,0,0.00707008703611791,0,0,0,0.000314009464345872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0.0166410079827303,0,0,0,0,0,0,0,0,0,0.0121363692544401,0,0,0.0116265755845234,0.0129688811581582,0,0,0,0,0,0.00405622029677033,0,0.00235029610339552,0.00866110986098647,0.0161534996144474,0,0,0.0123451664205641,0.00624789088964462,0.0190533479396254,0,0,0,0,0,0,0,0,0,0
"12",0.0060171122988686,0,0.0169536514906213,0,0,0,0,0,0,0,0,0.683699140488027,0.00655087298713625,0,0,0,0,0,0,0,0,0.0112088644457981,0.0109814703511074,0.0129658083152026,0,0.0118364409310743,0.00205293697770685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111171845905483,0,0,0,0,0,0,0
"13",0.0127791168307886,0,0,0.0112065375363454,0,0,0,0,0,0,0,0.00655087298713625,0.0509891747881788,0,0,0,0,0,0,0,0,0.00525905654300004,0.0148578840587288,0,0,0.0199330800957978,0,0.0107497526053339,0,0,0,0,0,0,0,0,0.0105352422874421,0,0,0,0,0,0,0,0,0,0,0,0.00810142518021166,0
"14",0.0152673178631812,0,0,0,0,0,0.0183993373671547,0,0,0,0,0,0,0.54241521371548,0,0.00387747818604112,0.00752345195040107,0.0132947609294206,0,0,0,0,0,0.00895700012799352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131487658061087,0,0.0160663327714428,0,0,0.00942466742359102,0,0.0177201241115108,0,0,0.0121434302022681
"15",0,0,0,0,0.00230476972647011,0,0,0,0,0.0165313944825903,0,0,0,0,2.06548734866505,0,0,0,0,0,0,0,0,0,0,0.0085031174402684,0,0,0,0,0,0,0,0,0.0165276884660125,0,0,0,0,0.0154495011409745,0,0,0.00216506732627749,0,0,0,0,0,0,0.0107473660632968
"16",0,0,0,0.0136698072170839,0,0,0,0,0,0,0,0,0,0.00387747818604112,0,0.213535249203095,0,0,0,0,0,0.00517402291763574,0.000886178314685822,0,0.0168571159197018,0,0,0.019084488437511,0,0,0.0134492660267279,0,0,0,0,0,0,0,0,0,0,0.00922685156110674,0.00287378788460046,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0.0182825440075249,0,0.00513649887405336,0,0,0,0.00752345195040107,0,0,0.689354734110596,0,0.00656325440388173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00924056307412684,0,0,0.018199321446009,0.0145264093764126,0,0
"18",0,0.0157961138384417,0,0.01193730072584,0,0.0161322367424145,0,0,0,0,0,0,0,0.0132947609294206,0,0,0,0.690575790150611,0,0,0,0,0.00533278776332736,0,0,0,0.00397394815925509,0,0,0,0.018660186054185,0.0132908486528322,0.00160446438007057,0.0177778994804248,0,0,0,0,0.00647030695341528,0,0,0,0,0,0,0,0.00258154240902513,0,0,0
"19",0,0,0,0,0,0,0,0.0187940044142306,0,0,0,0,0,0,0,0,0.00656325440388173,0,2.66201762242399,0,0,0,0,0,0,0,0,0,0.0189008872723207,0,0,0,0,0,0,0.00436102018225938,0.000835022553801537,0,0,0,0,0,0,0,0,0.00704887810628861,0,0,0,0.000666015422903001
"20",0,0,0.0088029270991683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332196761763868,0,0,0,0,0,0,0,0,0,0,0,0,0.0122608474595472,0,0,0.00924653125461191,0,0,0,0,0.00378761440049857,0.0105504119768739,0,0,0,0,0,0,0,0
"21",0,0,0,0.0104430938651785,0,0,0.00995360124856234,0,0,0,0.0121363692544401,0,0,0,0,0,0,0,0,0,1.50936616932604,0,0,0.0149911740468815,0.000317308539524674,0,0,0,0,0,0.00246555464342237,0,0,0,0,4.81050461530685e-06,0,0,0,0,0,0,0.0144619094301015,0,0,0.0106548422202468,0,0,0,0
"22",0,0.0122942603798583,0,0,0.015981734902598,0,0,0.00325101870577782,0.018384402776137,0,0,0.0112088644457981,0.00525905654300004,0,0,0.00517402291763574,0,0,0,0,0,0.0382099363238063,0,0,0,0.00331940621137619,0.00661169085651636,0,0,0,0,0,0,0,0,0,0,0,0,0.0160900368355215,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0.00278461746871471,0.00315984333399683,0,0,0,0.0109814703511074,0.0148578840587288,0,0,0.000886178314685822,0,0.00533278776332736,0,0,0,0,1.737429429901,0,0,0,0,0,0.000626203827559948,0,0,0,0,0,0.0162013121787459,0,0,0,0,0,0,0,0,0,0.0189611124107614,0,0,0.0169068713719025,0,0
"24",0,0,0.0168461051490158,0,0.0145261470414698,0,0,0,0,0,0.0116265755845234,0.0129658083152026,0,0.00895700012799352,0,0,0,0,0,0,0.0149911740468815,0,0,0.105972040230488,0.00546901015099138,0,0.00530407380778342,0,0,0,0.00159784433897585,0,0,0,0.0142960033100098,0,0,0,0.00189349430147558,0,0,0,0,0,0,0,0,0.0183770564990118,0.00681191148702055,0
"25",0,0.0154754153871909,0.00559630920179188,0,0,0,0,0,0,0.0183260649209842,0.0129688811581582,0,0,0,0,0.0168571159197018,0,0,0,0,0.000317308539524674,0,0,0.00546901015099138,0.343485043083914,0,0,0,0.0197582066478208,0,0,0.00229071246925741,0,0,0.00408005365170538,0,0,0,0,0,0.0029810854466632,0,0,0,0,0,0.00654866149649024,0,0,0
"26",0.0193673521699384,0,0,0.0119779138313606,0,0.00907130532432348,0,0.00995309703983367,0,0,0,0.0118364409310743,0.0199330800957978,0,0.0085031174402684,0,0,0,0,0,0,0.00331940621137619,0,0,0,0.295534620169621,0.0124568721000105,0,0,0,0,0.00315790883265436,0,0.00623681496363133,0,0,0,0,0,0,0,0.0170443613035604,0,0,0,0,0,0,0,0.0150166748045012
"27",0,0.0128069267841056,0,0,0,0,0.0163662225566804,0,0,0,0,0.00205293697770685,0,0,0,0,0,0.00397394815925509,0,0,0,0.00661169085651636,0,0.00530407380778342,0,0.0124568721000105,1.35642552564671,0.00343128328677267,0,0,0,0,0,0,0,0.0028231820371002,0.00933988829609007,0.0139911908376962,0,0,0,0,0.00502383229322732,0,0,0,0,0,0,0
"28",0,0,0,0,0.0058219046657905,0,0,0,0,0.00909506171941757,0,0,0.0107497526053339,0,0,0.019084488437511,0,0,0,0,0,0,0,0,0,0,0.00343128328677267,0.345141384066645,0,0,0,0,0,0,0,0,0,0,0,0,0.0110102618671954,0,0,0,0,0,0.0138572874199599,0,0,0
"29",0,0,0,0,0.0182139401556924,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189008872723207,0,0,0,0.000626203827559948,0,0.0197582066478208,0,0,0,0.151271345258017,0,0,0.00281214918475598,0,0.00992407339625061,0.0160389493731782,0,0,0,0,0,0.00622955881524831,0,0,0,0,0.0192133909789845,0.0196037542726845,0,0,0
"30",0,0,0,0,0.0156582648633048,0,0,0.00734703128226101,0.0154929643729702,0.00707008703611791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07211105711324,0,0,0.0146970760915428,0.0184735026722774,0,0,0,0,0.0165712683135644,0,0,0,0.00044392806943506,0,0,0,0,0,0.00458722680341452,0
"31",0.00409412607550621,0,0,0,0,0.00521770141553134,0,0.0056483130576089,0,0,0.00405622029677033,0,0,0,0,0.0134492660267279,0,0.018660186054185,0,0,0.00246555464342237,0,0,0.00159784433897585,0,0,0,0,0,0,3.47712740670511,0,0,0,0,0,0,0.0127968708053231,0,0,0,0,0.0187120049027726,0.0193939014431089,0.0042867036908865,0,0,0,0,0.00450940065085888
"32",0.0145129699492827,0,0,0.00705677935853601,0,0,0.0168374918913469,0.0121178397210315,0,0,0,0,0,0,0,0,0,0.0132908486528322,0,0,0,0,0,0,0.00229071246925741,0.00315790883265436,0,0,0.00281214918475598,0,0,0.758738690393737,0,0,0,0.0106858799327165,0.00713215976487845,0,0,0,0,0,0,0,0,0.00777867112774402,0,0,0,0
"33",0.0151929644914344,0,0.00790794876404107,0,0,0,0,0,0,0,0.00235029610339552,0,0,0,0,0,0,0.00160446438007057,0,0.0122608474595472,0,0,0,0,0,0,0,0,0,0.0146970760915428,0,0,2.32761317764767,0.0051485429238528,0,0,0.0101607971126214,0,0.00903910746797919,0,0,0,0,0,0,0,0.00953097472433001,0,0,0
"34",0.00856284499634057,0.0161233808100224,0.00444949239026755,0,0,0,0,0,0,0.000314009464345872,0.00866110986098647,0,0,0,0,0,0,0.0177778994804248,0,0,0,0,0,0,0,0.00623681496363133,0,0,0.00992407339625061,0.0184735026722774,0,0,0.0051485429238528,2.48285790838383,0,0.00716950638219714,0,0,0.0178270281432196,0,0.019780824133195,0,0.000593103668652475,0,0,0,0,0,0,0
"35",0,0.0133916554227471,0,0,0,0,0,0,0,0,0.0161534996144474,0,0,0,0.0165276884660125,0,0,0,0,0,0,0,0.0162013121787459,0.0142960033100098,0.00408005365170538,0,0,0,0.0160389493731782,0,0,0,0,0,0.912281174186852,0,0.0189731593569741,0,0,0,0.013992065214552,0,0.0152684350823984,0,0.00573334229644388,0.0176875425968319,0,0,0,0
"36",0.00146431190427393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00436102018225938,0.00924653125461191,4.81050461530685e-06,0,0,0,0,0,0.0028231820371002,0,0,0,0,0.0106858799327165,0,0.00716950638219714,0,0.0377921928487283,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0.00925861939787865,0,0,0,0.0190701379487291,0,0,0.00544240907300264,0,0,0,0,0.0105352422874421,0,0,0,0,0,0.000835022553801537,0,0,0,0,0,0,0,0.00933988829609007,0,0,0,0,0.00713215976487845,0.0101607971126214,0,0.0189731593569741,0,0.00530046964073493,0,0,0,0.00687178945168853,0,0,0,0,0,0,0,0,0.00830788504332304
"38",0,0,0,0,0,0,0,0,0,0,0.0123451664205641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139911908376962,0,0,0,0.0127968708053231,0,0,0,0,0,0,1.25548438670014,0,0,0.00344431017525494,0,0,0,0,0.00758758803829551,0,0,0.00644724969286472,0.0122537955129519
"39",0,0,0,0,0,0,0,0,0,0,0.00624789088964462,0,0,0,0,0,0,0.00647030695341528,0,0,0,0,0,0.00189349430147558,0,0,0,0,0,0.0165712683135644,0,0,0.00903910746797919,0.0178270281432196,0,0,0,0,0.877281710064486,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,0.0139525996893644,0.0162602213397622,0.0107299217348918,0,0,0,0,0,0.0190533479396254,0,0,0.0131487658061087,0.0154495011409745,0,0,0,0,0,0,0.0160900368355215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233914915907023,0,0,0.0109744776971638,0.0122771354205906,0,0,0,0,0,0.0188869043719023
"41",0,0,0.019223477258347,0,0,0,0.0044802455464378,0.000953330327756703,0,0,0,0,0,0,0,0,0,0,0,0.00378761440049857,0,0,0,0,0.0029810854466632,0,0,0.0110102618671954,0.00622955881524831,0,0,0,0,0.019780824133195,0.013992065214552,0,0.00687178945168853,0.00344431017525494,0,0,0.42721928171692,0,0,0,0,0,0,0.00418018091004342,0,0
"42",0.0160283985873684,0,0,0,0,0,0,0,0,0,0,0,0,0.0160663327714428,0,0.00922685156110674,0,0,0,0.0105504119768739,0,0,0,0,0,0.0170443613035604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17359271075651,0,0,0.0151572951674461,0,0.00878928623627871,0,0,0
"43",0,0.00615074235014617,0,0,0,0,0,0,0.00696721995249391,0,0,0.0111171845905483,0,0,0.00216506732627749,0.00287378788460046,0,0,0,0,0.0144619094301015,0,0,0,0,0,0.00502383229322732,0,0,0.00044392806943506,0.0187120049027726,0,0,0.000593103668652475,0.0152684350823984,0,0,0,0,0.0109744776971638,0,0,0.0139013463306708,0.00191595513839275,0,0,0.0139193688379601,0,0.00318972753360867,0
"44",0,0,0,0,0,0.0187891716090962,0,0,0,0,0,0,0,0,0,0,0.00924056307412684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193939014431089,0,0,0,0,0,0,0,0,0.0122771354205906,0,0,0.00191595513839275,0.399401783113828,0,0,0.0185463181464002,0.0191762062348425,0,0.00244223023764789
"45",0,0,0,0.0143470919877291,0,0,0,0,0,0,0,0,0,0.00942466742359102,0,0,0,0,0,0,0,0,0.0189611124107614,0,0,0,0,0,0,0,0.0042867036908865,0,0,0,0.00573334229644388,0,0,0,0,0,0,0.0151572951674461,0,0,1.77312404464804,0,0,0,0,0.0106519550876692
"46",0,0,0,0.0159340474801138,0,0,0.00256550712045282,0,0,0,0,0,0,0,0,0,0,0,0.00704887810628861,0,0.0106548422202468,0,0,0,0,0,0,0,0.0192133909789845,0,0,0.00777867112774402,0,0,0.0176875425968319,0,0,0.00758758803829551,0,0,0,0,0,0,0,2.15572770719524,0.0187541875382885,0,0.0105247365823016,0
"47",0,0,0,0.0147802263544872,0,0.0192814175412059,0,0,0,0,0,0,0,0.0177201241115108,0,0,0.018199321446009,0.00258154240902513,0,0,0,0,0,0,0.00654866149649024,0,0,0.0138572874199599,0.0196037542726845,0,0,0,0.00953097472433001,0,0,0,0,0,0,0,0,0.00878928623627871,0.0139193688379601,0.0185463181464002,0,0.0187541875382885,0.476249417073002,0.000578181599266827,0,0
"48",0,0,0,0,0,0,0,0.00297780917957425,0,0,0,0,0,0,0,0,0.0145264093764126,0,0,0,0,0,0.0169068713719025,0.0183770564990118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00418018091004342,0,0,0.0191762062348425,0,0,0.000578181599266827,0.59280090619335,0,0
"49",0,0.00318575541023165,0.0189406923763454,0.00591699705924839,0.00590199848636985,0,0.00106122993864119,0,0,0,0,0,0.00810142518021166,0,0,0,0,0,0,0,0,0,0,0.00681191148702055,0,0,0,0,0,0.00458722680341452,0,0,0,0,0,0,0,0.00644724969286472,0,0,0,0,0.00318972753360867,0,0,0.0105247365823016,0,0,0.237706121855352,0
"50",0,0,0,0.00060591435059905,0,0,0,0,0,0,0,0,0,0.0121434302022681,0.0107473660632968,0,0,0,0.000666015422903001,0,0,0,0,0,0,0.0150166748045012,0,0,0,0,0.00450940065085888,0,0,0,0,0,0.00830788504332304,0.0122537955129519,0,0.0188869043719023,0,0,0,0.00244223023764789,0.0106519550876692,0,0,0,0,0.823033845162791
